fold,atr_mean,atr_std,atr_p90,bb_width_mean,adx_mean,adx_above_25_pct,bull_aligned_pct,bear_aligned_pct,mixed_pct,avg_alignment_run,flips_per_1000bar,h1_slope_mean,h1_slope_std,win_long,loss_long,timeout_long,win_rate_long,win_short,loss_short,timeout_short,win_rate_short
1,0.00047568443357783215,0.00026071043025170497,0.0007916000000000004,4.254779479543602,24.870061276446616,40.50529747351263,42.396088019559905,13.251833740831295,44.3520782396088,52.22281988590057,1.1409942950285248,0.00021154995925020374,0.00022705779656224454,1990,3708,437,34.924534924534925,1811,4029,295,31.010273972602743
2,0.00036136788916055424,0.00020356458527275424,0.000612,4.628034318826406,24.393305085574575,40.847595762021186,8.590057049714751,49.94295028524857,41.46699266503667,55.59054604726976,1.6299918500407498,-0.00013775403422982882,0.00030790715390905597,1731,4138,266,29.493951269381498,2026,3828,281,34.60881448582166
3,0.00025167188264058684,0.00014047271983518,0.00042,4.444712902363488,23.092824894539525,33.545232273838636,42.91768541157294,13.49633251833741,43.58598207008965,52.090790546047266,3.0969845150774242,3.110464547677261e-05,0.00015798947665549563,1971,3839,325,33.924268502581754,1732,4043,360,29.99134199134199
4,0.0002903815810920945,0.00018374676799974657,0.000484,4.495366362999184,24.06062219820701,37.359413202933986,30.0081499592502,28.44335778321108,41.54849225753871,52.05313773431133,0.8149959250203749,4.376495517522413e-05,0.0002058439351506499,1912,3948,275,32.62798634812287,1880,3907,348,32.48660791429065
5,0.0006147484922575387,0.00045293407646190993,0.001215,4.571564429502852,24.76359722999185,41.36919315403423,34.441727791361046,24.009779951100242,41.54849225753871,51.157783211083945,4.400977995110024,0.00022011735941320296,0.00042378895513817,2017,3856,262,34.343606334071175,1843,4001,291,31.53661875427789
