metric,good_mean,bad_mean,pct_diff,abs_diff
slope_sma_h1_200,-4.6994539527302356e-05,0.00015425732138005978,428.245202382377,0.00020125186090736214
mtf_alignment_score,-0.913121434392828,0.9698451507742462,206.21206711888613,1.882966585167074
mtf_alignment_duration,-23.18321108394458,21.609290953545234,193.2109485407336,44.79250203748981
dist_sma_m5_200,-1.1784042052974735,0.8205662045639772,169.63367924818593,1.9989704098614507
atr_m5,0.0003258747351263244,0.0004473682694919859,37.28228097172521,0.00012149353436566155
di_minus_m5,22.567597880603095,21.62953769274654,-4.156668303022282,-0.9380601878565571
bb_width,4.561700340912796,4.423685603803314,-3.0255108138441473,-0.13801473710948198
rsi_m5,49.77047989225753,50.88833588682423,2.2460221339770396,1.1178559945666962
di_plus_m5,22.056095114425425,22.37990172784569,1.468104901345327,0.32380661342026684
adx_m5,24.22696364189079,24.242161133659334,0.06272965937120141,0.015197491768542903
